Empresa,Objetos
"RODABIL, S.A.U.","['25', '27', '29', '32', '35', '38', '39', '40', '42', '43', '44', '45', '46', '48', '49', '53', '54', '56', '57', '59', '61', '62', '63', '64', '65', '68', '69', '70', '71', '72', '73', '74', '75', '76', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '93', '94', '95', '96', '25', '27', '29', '32', '35', '38', '39', '40', '42', '43', '44', '45', '46', '49', '53', '54', '56', '57', '59', '61', '62', '63', '64', '65', '68', '69', '70', '71', '72', '73', '74', '75', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '93', '94', '96']"
"UNIO CELLERS DEL NOYA, S.A.","['22', '22', '22']"
"GRUPO INTERNACIONAL CARBACÁN, S.A. (GICSA)","['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97']"
"ABENSA, S.A.","['25', '27', '32', '33', '34', '35', '38', '39', '40', '42', '45', '48', '58', '59', '61', '62', '63', '64', '65', '66', '68', '70', '72', '73', '74', '76', '79', '82', '83', '84', '85', '90', '91', '94', '25', '27', '32', '34', '35', '38', '39', '40', '45', '48', '58', '59', '68', '70', '72', '73', '74', '76', '79', '82', '83', '84', '85', '90', '91', '94', '25', '27', '32', '34', '35', '38', '39', '40', '45', '48', '58', '59', '68', '70', '72', '73', '74', '76', '79', '83', '82', '83', '84', '85', '90', '91', '94', '25', '27', '32', '34', '35', '38', '39', '40', '45', '48', '58', '59', '68', '70', '72', '73', '74', '76', '79', '82', '83', '84', '85', '90', '91', '94']"
EXCLUSIVES TOT COLOR S.A.,"['13', '32', '34', '35', '38', '39', '40', '48', '59', '68', '73', '74', '80', '82', '83', '84', '85', '90']"
"FABRICADOS ELECTROMECANICOS ESTEVEZ FABREZ, S.L.","['2', '3', '4', '5', '8', '9', '11', '15', '16', '17', '18', '19', '20', '21', '22', '23', '33', '34', '35', '39', '40', '42', '43', '57', '58', '59', '60', '61', '62', '63', '64', '65', '72', '73', '76', '81', '82', '83', '84', '85', '87', '90', '91', '96']"
SERPRO,"['15', '19', '20', '21', '22', '39', '42', '55', '58', '60', '61', '62', '63', '64', '94', '39', '42', '55', '58', '60', '61', '62', '63', '64', '94', '39', '42', '55', '58', '60', '61', '62', '63', '64', '39', '42', '55', '58', '60', '61', '62', '63', '64']"
"SUMCAB SPECIALCABLE GROUP, S.L.","['39', '40', '44', '48', '59', '68', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '94', '39', '40', '44', '48', '59', '68', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '94']"
"FIXATION R. & M. SERVICE, LTD.","['25', '27', '28', '29', '32', '34', '35', '38', '39', '40', '48', '49', '56', '59', '61', '62', '63', '68', '70', '72', '73', '74', '76', '78', '80', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"TOR-PANEL, S.A.","['72', '73', '74', '76', '82', '84', '73', '74', '76', '73', '74', '76', '73', '74', '76']"
"FRISHER, S.R.L.","['4', '15', '16', '17', '18', '19', '20', '21', '22', '25', '38', '39', '44', '48', '84', '85', '4', '15', '16', '17', '18', '19', '20', '21', '22', '25', '38', '39', '44', '48', '84', '85', '4', '15', '16', '17', '18', '19', '20', '21', '22', '25', '38', '39', '44', '48', '84', '85', '4', '15', '16', '17', '18', '19', '20', '21', '22', '25', '38', '39', '44', '48', '84', '85']"
"HOTELSA ALIMENTACIÓN, S.L.","['4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '29', '33', '34', '35', '38', '39', '48', '84', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '29', '33', '34', '35', '38', '39', '48', '84', '4', '8', '9', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '29', '33', '34', '35', '38', '39', '48', '84']"
"EL CUARTO DEL REGUERÓN, S.L.","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23']"
ANSA McAL LIMITED,"['22', '28', '32', '34', '39', '70']"
MLW INTERMED HANDELS- UND CONSULTINGGESELLSCHAFT FÜR ERZAUGNISSE UND AUSRÜSTUNGEN DES GESUNDHEITS- UND BILDUNGSWESSENS mbH,"['22', '25', '28', '29', '32', '33', '34', '35', '37', '38', '39', '40', '44', '48', '49', '56', '69', '70', '73', '76', '82', '84', '85', '87', '90', '91', '92', '94', '95', '96']"
"WINKLER PANAMERICANA, S.L.","['25', '26', '28', '29', '32']"
"SAN ISIDRO DE LOS VALLES PORTUGAL, S.A.","['2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '44']"
"ESENCIA FINANCE AND CONSULTING, S.L.","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97']"
"INDUSTRIAS METALÚRGICAS SOROA, S.L.","['32', '39', '44', '56', '69', '72', '73', '76', '82', '83', '84', '85', '94', '32', '39', '44', '56', '69', '72', '73', '76', '82', '83', '84', '85', '94', '32', '39', '44', '56', '72', '73', '76', '82', '83', '84', '32', '39', '44', '56', '72', '73', '76', '82', '83', '84']"
"QUANZHOU JIANDA IMP AND EXP TRADE CO, LTD","['38', '39', '40', '41', '42', '43', '44', '46', '47', '48', '49', '50', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '73', '74', '75', '81', '82', '83', '84', '85', '87', '94', '95', '96']"
"SARTORIUS, A.G.","['15', '17', '28', '29', '30', '32', '34', '35', '37', '38', '39', '40', '42', '48', '49', '56', '59', '62', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '90', '91', '94', '96', '15', '17', '28', '29', '30', '32', '34', '35', '37', '38', '39', '40', '42', '48', '49', '56', '59', '62', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '90', '91', '94', '96', '15', '17', '28', '29', '30', '32', '34', '35', '37', '38', '39', '40', '42', '48', '49', '56', '59', '62', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '90', '91', '94', '96', '15', '17', '28', '29', '30', '32', '34', '35', '37', '38', '39', '40', '42', '48', '49', '56', '59', '62', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '90', '91', '94', '96']"
SUNTIME INTERNATIONAL TECHNO-ECONOMIC COOPERATION (GROUP) CO. LTD,"['2', '3', '4', '10', '11', '12', '15', '17', '18', '19', '20', '21', '22', '25', '26', '29', '31', '32', '33', '34', '39', '40', '41', '42', '43', '44', '45', '48', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '91', '94', '95', '96']"
UK GLOBAL COMMODITIES LIMITED,"['1', '9', '10', '11', '12', '13', '15', '17', '18', '19', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '91', '92', '93', '95', '90', '94', '96', '97']"
SPORTMATE CORPORATION,"['38', '73', '82', '83', '84', '85', '90', '95', '38', '73', '82', '83', '84', '85', '90', '95', '38', '73', '83', '82', '84', '85', '90', '95', '38', '73', '82', '83', '84', '85', '90', '95']"
VETROMECCANICHE INVEST–MATERIAIS DE CONSTRUCAO LDA. CORP.,"['14', '25', '27', '32', '39', '40', '41', '42', '44', '45', '48', '49', '52', '53', '55', '56', '57', '58', '59', '60', '61', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '89', '90', '91', '94', '95', '96']"
"REDÍN INTERNACIONAL TALDE, S.L","['25', '27', '29', '32', '35', '38', '39', '40', '42', '44', '45', '46', '59', '63', '68', '70', '72', '73', '74', '76', '80', '82', '83', '84', '85', '90', '94', '96']"
"SEPPIM CARAIBES, S.A.","['28', '29', '30', '35', '37', '38', '39', '40', '90', '94', '28', '29', '30', '35', '37', '38', '39', '40', '90', '94']"
"COMERCIAL TAKE OFF, S.A. / EL NERVION, S.A. de C.V.","['29', '32', '38', '39', '40', '48', '82', '83', '94', '96']"
WILO SE,"['25', '28', '32', '39', '40', '59', '70', '72', '73', '74', '76', '78', '82', '83', '84', '85', '90', '91', '25', '28', '32', '39', '40', '59', '70', '72', '73', '74', '76', '78', '82', '83', '84', '85', '90', '91', '25', '28', '32', '39', '40', '59', '70', '72', '73', '74', '76', '78', '82', '83', '84', '85', '90', '91']"
"DALLANT, S.A.","['13', '29', '32', '33', '13', '29', '32', '33', '13', '29', '32', '33']"
"ART MUSIC, S.R.L.","['84', '85', '90', '92', '94', '84', '85', '90', '92', '94', '84', '85', '90', '92', '94', '84', '85', '90', '92', '94']"
"GRUPO ARMARIOS PERSIANA, S.A. (SOCIEDAD UNIPERSONAL)","['44', '83', '85', '94']"
"GRUPO UGAO, S.A.","['2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '27', '28', '29', '31', '32', '33', '34', '38', '39', '40', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '28', '29', '31', '32', '33', '34', '38', '39', '40', '41', '42', '43', '44', '47', '48', '54', '56', '59', '61', '62', '63', '64', '65', '68', '69', '70', '71', '72', '73', '74', '76', '82', '83', '84', '85', '86', '87', '90', '91', '94', '95', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '28', '29', '31', '32', '33', '34', '38', '39', '40', '41', '42', '43', '44', '47', '48', '54', '56', '59', '61', '62', '63', '64', '65', '68', '69', '70', '71', '72', '73', '74', '76', '82', '83', '84', '85', '86', '87', '90', '91', '94', '95', '2', '3', '6', '7', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '24', '25', '31', '32', '33', '38', '39', '40', '41', '42', '43', '49', '54', '61', '62', '64', '65', '68', '69', '70', '71', '72', '73', '74', '76', '82', '83', '84', '85', '90', '91', '94', '95']"
"IVEKTA, S.R.L.","['16', '18', '22', '25', '39', '40', '44', '48', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '16', '18', '22', '25', '39', '40', '44', '48', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89']"
"A.E.E ZARUBEZHTVETMET, S.A.","['33', '38', '39', '40', '59', '63', '68', '69', '70', '72', '73', '74', '75', '76', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89']"
GIEINTER A.G.,"['2', '3', '4', '7', '8', '10', '11', '12', '13', '15', '16', '17', '19', '20', '22', '23', '27', '28', '29', '31', '32', '35', '38', '40', '41', '44', '48', '72', '73', '74', '76', '84', '96', '44', '48', '72', '73', '74', '76', '84', '96', '2', '3', '4', '7', '8', '10', '11', '12', '13', '15', '16', '17', '19', '20', '22', '23', '27', '28', '29', '31', '32', '35', '38', '40', '41', '44', '48', '72', '73', '74', '76', '84', '96']"
"CUSEKO INTERNATIONAL CO., LTD.","['1', '2', '3', '4', '5', '7', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '91', '92', '94', '95', '96', '97', '1', '2', '3', '4', '5', '7', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '91', '92', '94', '95', '96', '97', '1', '2', '3', '4', '5', '7', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '91', '92', '94', '95', '96', '97', '1', '2', '3', '4', '5', '7', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '37', '38', '39', '40', '41', '42', '43', '44', '45', '47', '48', '49', '50', '51', '52', '53', '54', '55', '57', '56', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '90', '91', '92', '94', '95', '96', '97']"
"XOVEL, S.A.","['2', '3', '4', '7', '8', '10', '15', '16', '17', '18', '19', '20', '21', '22', '32', '39', '85', '87', '92', '94', '2', '3', '4', '7', '8', '10', '15', '16', '17', '18', '19', '20', '21', '22', '32', '39', '85', '87', '92', '94', '2', '3', '7', '10', '15', '16', '17', '18', '19', '20', '21', '22', '32', '39', '85', '87', '92', '94', '2', '3', '4', '7', '8', '10', '15', '16', '17', '18', '19', '20', '21', '22', '32', '39', '85', '87', '92', '94']"
"ROQUETA ORIGEN, S.L.",['22']
"HERMANOS TOIMIL GARCIA, S.L.","['73', '84', '87']"
NANTONG XINLIJI INTERNATIONAL CO. LTD,"['30', '32', '33', '34', '38', '39', '40', '42', '44', '46', '48', '52', '54', '55', '56', '60', '62', '63', '69', '70', '71', '73', '76', '82', '83', '84', '85', '90', '91', '94', '95', '96']"
"BEKAR IMPORTACIONES/EXPORTACIONES, S.R.L.","['2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '32', '33', '34', '35', '38', '39', '42', '44', '48', '55', '56', '57', '58', '61', '62', '63', '65', '66', '67', '68', '69', '70', '71', '73', '74', '75', '78', '82', '83', '84', '85', '90', '91', '92', '95', '96', '97']"
"BETICO COMPRESSORS, S.A.U.","['73', '84', '85', '87', '90']"
CGC INVESTMENT LLC,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '26', '29', '32', '33', '34', '38', '39', '40', '41', '42', '53', '54', '55', '58', '59', '60', '66', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '96']"
"KSB ITUR SPAIN, S.A.","['84', '84', '84', '84']"
"WENCE INVERSIONES, S.L.","['2', '4', '16', '18', '19', '23', '28', '29', '32', '33', '38', '72', '73', '82', '84', '85', '90', '93', '94', '95']"
"R. & P. COMPANY, S.R.L.","['28', '30', '32', '33', '34', '35', '38', '39', '40', '42', '48', '56', '58', '63', '70', '71', '76', '78', '82', '83', '84', '90', '94', '96', '28', '30', '32', '33', '34', '35', '38', '39', '40', '42', '48', '56', '58', '63', '70', '71', '76', '78', '82', '83', '84', '90', '94', '96', '28', '30', '32', '33', '34', '35', '38', '39', '40', '42', '48', '56', '58', '63', '70', '71', '76', '78', '82', '83', '84', '90', '94', '96', '28', '30', '32', '33', '34', '35', '38', '39', '40', '42', '48', '56', '58', '63', '70', '71', '76', '78', '82', '83', '84', '90', '94', '96']"
SUPLAY INC.,"['39', '41', '42', '43', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '70', '72', '73', '74', '76', '82', '83', '84', '85', '87', '94', '95', '39', '41', '42', '43', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '70', '72', '73', '74', '76', '82', '83', '84', '85', '87', '94', '95']"
"MANUEL REVERT Y CIA, S.A.","['35', '39', '44', '48', '52', '54', '55', '56', '57', '58', '59', '63', '72', '73', '76', '79', '82', '83', '84', '94', '35', '39', '44', '48', '52', '54', '55', '56', '57', '58', '59', '63', '72', '73', '76', '79', '82', '83', '84', '94', '35', '39', '44', '48', '52', '54', '55', '56', '57', '58', '59', '63', '72', '73', '76', '79', '82', '83', '84', '94', '35', '39', '44', '48', '52', '54', '55', '56', '57', '58', '59', '63', '72', '73', '76', '79', '82', '83', '84', '94']"
"REPRESENTACIONES CULTURALES, S.A. (RECSA) / CORPORACIÓN INTERNACIONAL DE COSMÉTICOS Y PERFUMES, S.A.","['32', '33', '34', '37', '39', '41', '42', '43', '44', '48', '49', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '73', '82', '83', '84', '92', '96', '97']"
CORPORACIÓN NACIONAL CHINA PARA LA IMPORTACIÓN Y EXPORTACIÓN DE MAQUINARIAS DE CONSTRUCCIÓN Y AGRÍCOLAS,"['7', '10', '11', '12', '13', '14', '15', '16', '19', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37', '38', '39', '40', '41', '43', '44', '47', '48', '50', '51', '52', '53', '54', '55', '56', '59', '60', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '90', '94', '96', '7', '10', '11', '12', '13', '14', '15', '16', '19', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37', '38', '39', '40', '41', '43', '44', '47', '48', '50', '51', '52', '53', '54', '55', '56', '59', '60', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '90', '94', '96', '7', '10', '11', '12', '13', '14', '15', '16', '19', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37', '38', '39', '40', '41', '43', '44', '47', '48', '50', '51', '52', '53', '54', '55', '56', '59', '60', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '90', '94', '96']"
"CORPORACIÓN DE COMERCIOS DE ARTESANÍAS DE JIANGXI, L.T.D.","['9', '14', '15', '20', '21', '25', '32', '33', '34', '35', '38', '39', '40', '42', '44', '48', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '69', '70', '71', '73', '82', '83', '84', '85', '87', '90', '91', '92', '94', '95', '96']"
"KLINGER SAIDI SPAIN, S.A.U. anteriormente denominada SOCIEDAD ANÓNIMA IBÉRICA DE DISTRIBUCIONES INDUSTRIALES","['25', '32', '40', '68', '69', '72', '73', '74', '75', '76', '79', '83', '84', '85', '90']"
"GESTIÓN EMPRESARIAL MALLORQUINA, S.L.","['27', '29', '32', '34', '35', '38', '39', '40', '64', '68', '69', '70', '72', '73', '74', '75', '82', '83', '84', '85', '87', '90', '91', '94', '27', '29', '32', '34', '35', '38', '39', '40', '64', '68', '69', '70', '72', '73', '74', '75', '82', '83', '84', '85', '87', '90', '91', '94']"
"SERVICIOS AGROALIMENTARIOS, SOCIEDAD COOPERATIVA ANDALUZA","['4', '5', '7', '8', '9', '10', '11', '12', '13', '15', '17', '18', '19', '20', '21', '28', '29', '35', '39', '48', '4', '5', '7', '8', '9', '10', '11', '12', '13', '15', '17', '18', '19', '20', '21', '28', '29', '35', '39', '48', '4', '5', '7', '8', '9', '10', '11', '12', '13', '15', '17', '18', '19', '20', '21', '28', '29', '35', '39', '48']"
"INDUSTRIAL SEDO, S.L.","['32', '35', '39', '42', '52', '54', '55', '56', '57', '58', '59', '60', '63', '66', '72', '73', '76', '82', '83', '84', '85', '89', '94', '95', '96']"
"GONZALO INTERNACIONAL DE OPERACIONES, S.L.","['13', '14', '15', '22', '25', '27', '28', '32', '34', '38', '39', '40', '41', '42', '44', '45', '46', '48', '52', '53', '54', '55', '56', '57', '59', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '96', '13', '14', '15', '22', '25', '27', '28', '32', '34', '38', '39', '40', '41', '42', '44', '45', '46', '48', '52', '53', '54', '55', '56', '57', '59', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '96', '13', '14', '15', '22', '25', '27', '28', '32', '34', '38', '39', '40', '41', '42', '44', '45', '46', '48', '52', '53', '54', '55', '56', '57', '59', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '95', '96', '13', '14', '15', '22', '25', '27', '28', '32', '34', '38', '39', '40', '41', '42', '44', '45', '46', '48', '52', '53', '54', '55', '56', '57', '59', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '89', '90', '91', '94', '95', '96']"
"PROMED INTERNACIONAL, S.L.","['29', '30', '33', '34', '35', '37', '38', '39', '40', '45', '48', '49', '52', '54', '56', '59', '61', '62', '63', '64', '69', '70', '73', '84', '85', '87', '90']"
CHINA NATIONAL HUACHEN ENERGY GROUP CO. LTD.,"['28', '29', '30', '33', '34', '39', '40', '48', '58', '63', '70', '73', '74', '82', '84', '85', '87', '94', '96']"
"INTERFOOD AMERICAS, S.A.","['4', '19', '21']"
"DESECHOS TEXTILES DEL CARIBE, S.R.L. (DETEXCA)","['2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '27', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '41', '42', '43', '44', '48', '50', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '69', '70', '72', '73', '76', '78', '82', '83', '84', '85', '87', '90', '94', '95', '96']"
"INTERNACIONAL DEL COMERCIO NADINE, S.L.","['28', '40', '73', '84', '85', '86', '87', '28', '40', '73', '84', '85', '86', '87']"
"LUBRICANTES ARGENTINOS DE ALTA PERFORMANCE, S.A. (LAAPSA)","['15', '27', '34', '38', '39', '84', '90', '27', '38', '84']"
"IBADESA CANARIAS, S.L. (IBADECAN)","['15', '23', '26', '29', '30', '31', '38', '39', '72', '73', '74', '76']"
COMPAGNIA MERCANTILE INTERNAZIONALE S.R.L. (COMEI),"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '32', '38', '39', '40', '42', '44', '45', '48', '49', '55', '68', '69', '70', '72', '73', '74', '76', '78', '79', '82', '83', '84', '85', '86', '87', '90', '91', '92', '95', '96', '85', '94', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '32', '38', '39', '40', '42', '44', '45', '48', '49', '55', '68', '69', '70', '72', '73', '74', '76', '78', '79', '82', '83', '84', '85', '86', '87', '90', '91', '92', '94', '95', '96']"
NINGBO ZHAOKE INT ́L IMP. & EXP. CORP.,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '94', '95', '96', '97', '84', '85', '90']"
"REPRESENTACIONES CULTURALES, S.A. (RECSA) / AURELIA INTERNATIONAL, S.A.","['37', '39', '42', '48', '49', '46', '61', '62', '63', '65', '66', '69', '70', '83', '90', '91', '95', '96']"
"AUSERVIS, S.L.","['2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '42', '48', '56', '73', '74', '84', '90', '96', '2', '5', '7', '8', '11', '13', '21', '28', '32', '35', '39', '42', '48', '56', '73', '74', '84', '90', '2', '5', '7', '8', '9', '11', '13', '21', '28', '32', '35', '39', '42', '48', '56', '73', '74', '84', '90']"
SKY TECK LABS INC.,"['25', '29', '32', '34', '38', '39', '42', '48', '49', '59', '69', '72', '73', '74', '76', '82', '84', '85', '87', '90', '25', '29', '32', '34', '38', '39', '42', '48', '49', '59', '69', '72', '73', '74', '76', '82', '84', '85', '87', '90', '25', '29', '32', '34', '38', '39', '42', '48', '49', '59', '69', '72', '73', '74', '76', '82', '84', '85', '87', '90', '92', '94', '95']"
CORPORACIÓN LINK A.V.V.,"['40', '40', '40']"
"MASTER & MASTER TRADING CORP., S.A.","['4', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '35', '39', '48', '73', '76', '82', '84', '90', '4', '9', '10', '11', '13', '15', '16', '17', '18', '19', '20', '21', '22', '23', '32', '35', '39', '48', '73', '76', '82', '84', '90']"
"QUICK MANUFACTURING INTERNATIONAL, SRL.","['32', '35', '38', '39', '40', '43', '45', '48', '49', '52', '54', '55', '56', '58', '59', '60', '61', '62', '63', '65', '68', '73', '80', '82', '83', '84', '85', '87', '90', '94', '96']"
"REPRESENTACIONES PLATINO, S.A. / CARL ZEISS DE MExICO, S.A. DE C.V.","['39', '42', '84', '85', '90', '94']"
