Empresa,Objetos
"OSTALMAR, S.A.","['2', '3', '4', '7', '8', '11', '16', '17', '18', '19', '20', '21', '22', '33', '34', '40', '48', '49', '61', '62', '64', '67', '70', '71', '84', '85', '90', '95', '96', '2', '3', '4', '7', '8', '11', '16', '17', '18', '19', '20', '21', '22', '33', '34', '40', '48', '49', '61', '62', '64', '67', '70', '71', '84', '85', '90', '95', '96', '2', '3', '4', '7', '8', '11', '16', '17', '18', '19', '20', '21', '22', '33', '34', '40', '48', '49', '61', '62', '64', '67', '70', '71', '84', '85', '90', '95', '96', '2', '3', '4', '7', '8', '11', '16', '17', '18', '19', '20', '21', '22', '33', '34', '40', '48', '49', '61', '62', '64', '67', '70', '71', '84', '85', '90', '95', '96']"
"GLOBAL SUGAR TRADING-COMERCIO DE ACUCAR, LDA.","['9', '17', '27']"
"COMLAT, S.A.","['39', '40', '57', '64', '68', '70', '73', '76', '84', '85', '86', '87', '91', '39', '40', '57', '64', '68', '70', '73', '76', '84', '85', '86', '87', '91', '39', '40', '57', '64', '68', '70', '73', '76', '84', '85', '86', '87', '91', '39', '40', '57', '64', '68', '70', '73', '76', '84', '85', '86', '87', '91']"
"3L INTERNATIONAL, S.A.","['2', '3', '4', '7', '8', '9', '10', '11', '14', '15', '16', '17', '18', '19', '20', '21', '22', '25', '28', '29', '31', '32', '38', '39', '40', '41', '42', '45', '46', '48', '51', '52', '53', '54', '55', '56', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '70', '73', '76', '83', '84', '90', '91', '92', '96']"
REGOR INC,"['2', '4', '10', '11', '13', '15', '19', '20', '21', '25', '27', '28', '32', '33', '34', '37', '38', '39', '40', '42', '44', '45', '48', '49', '57', '59', '63', '68', '69', '70', '72', '73', '74', '76', '78', '82', '83', '84', '85', '88', '89', '90', '95']"
"ANÓNIMA ESPAÑOLA DE COMERCIO Y ECONOMÍA, S.A.","['10', '12', '23', '25', '27', '28', '29', '34', '35', '36', '38', '39', '40', '42', '44', '48', '55', '56', '59', '62', '63', '64', '65', '68', '73', '74', '76', '78', '80', '82', '83', '84', '85', '87', '90', '93', '94', '96', '10', '12', '23', '25', '27', '32', '34', '35', '36', '38', '39', '40', '42', '48', '55', '56', '59', '62', '63', '64', '65', '68', '73', '74', '76', '78', '80', '82', '83', '84', '85', '87', '90', '93', '94', '96']"
"VIMA WORLD, S.A.","['2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '18', '19', '20', '21', '22', '32', '34', '39', '48', '61', '62', '63', '64', '69', '70', '82', '83', '84', '85', '94', '96']"
MÚLTIPLE TRADING INC,"['2', '3', '4', '7', '8', '9', '10', '11', '12', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '26', '33', '34', '39', '40', '61', '62', '63', '69', '70', '73', '82', '83', '84', '85', '87', '91', '96']"
"SUSTAINABLE AGRO SOLUTIONS, S.A.","['31', '32', '34', '38']"
KOMNOT CORPORATION,"['5', '7', '10', '11', '12', '13', '16', '19', '21', '22', '23', '25', '28', '29', '30', '31', '32', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '89', '90', '91', '92', '94', '95', '96', '97']"
FUGRAN COMERCIAL E INDUSTRIAL S.A.,"['23', '25', '38']"
"REPRESENTACIONES PLATINO, S.A. / FUGRAN COMERCIAL E INDUSTRIAL, S.A. ","['23', '25', '38']"
"BORDOY Y ASO- CIADOS CIA, LTDA.","['6', '14', '27', '32', '33', '34', '39', '40', '44', '48', '49', '56', '57', '58', '65', '67', '68', '69', '70', '72', '76', '82', '83', '84', '85', '87', '94', '95', '96', '97']"
"CAMAX CHILE, S.A.","['4', '7', '8', '9', '15', '16', '17', '18', '19', '20', '21', '22', '24', '30', '32', '33', '36', '37', '39', '40', '41', '42', '52', '53', '54', '55', '57', '58', '61', '62', '63', '64', '65', '66', '67', '69', '70', '71', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '4', '7', '8', '9', '16', '17', '18', '19', '20', '21', '22', '24', '30', '32', '33', '36', '37', '39', '40', '41', '42', '52', '53', '54', '55', '57', '58', '61', '62', '63', '64', '65', '66', '67', '69', '70', '71', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96', '4', '7', '8', '9', '16', '17', '18', '19', '20', '21', '22', '24', '30', '32', '33', '36', '37', '39', '40', '41', '42', '52', '53', '54', '55', '57', '58', '61', '62', '63', '64', '65', '66', '67', '69', '70', '71', '82', '83', '84', '85', '87', '90', '91', '94', '95', '96']"
"GREYMO, S.A.","['84', '85', '87', '90', '84', '85', '87', '90', '84', '85', '87', '90', '84', '85', '87', '90']"
"B. BRAUN MEDICAL INTERNATIONAL, S.L. ","['30', '33', '34', '37', '38', '39', '40', '48', '52', '68', '70', '72', '73', '74', '76', '78', '84', '90']"
"REUVEN INTERNATIONAL, LTD.","['2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '29', '32', '33', '34', '35', '38', '39', '40', '44', '48', '56', '59', '68', '70', '72', '82', '84', '85', '87', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '29', '32', '33', '34', '35', '38', '39', '40', '44', '48', '56', '59', '68', '70', '72', '82', '84', '85', '87', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '29', '32', '33', '34', '35', '38', '39', '40', '44', '48', '56', '59', '68', '70', '72', '82', '84', '85', '87', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '25', '29', '32', '33', '34', '35', '38', '39', '40', '44', '48', '56', '59', '68', '70', '72', '73', '82', '83', '84', '85', '87']"
"VOLTOR INGENIERÍA Y EQUIPOS, S.L.","['27', '28', '29', '32', '34', '35', '37', '38', '39', '40', '41', '42', '44', '47', '48', '55', '56', '59', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '90', '91', '27', '28', '29', '32', '34', '35', '37', '38', '39', '40', '41', '42', '44', '47', '48', '55', '56', '59', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '90', '91', '27', '28', '29', '32', '34', '35', '37', '38', '39', '40', '41', '42', '44', '47', '48', '55', '56', '59', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '90', '91']"
ISAGRO S.P.A.,"['31', '38', '31', '38']"
"ELECTRÓNICA ARA, S.L.","['25', '29', '30', '32', '34', '35', '37', '38', '39', '40', '48', '49', '63', '68', '73', '74', '75', '76', '80', '82', '83', '84', '85', '87', '90', '94', '96', '25', '29', '30', '32', '34', '35', '37', '38', '39', '40', '41', '48', '49', '63', '68', '73', '74', '75', '76', '80', '82', '83', '84', '85', '87', '90', '94', '96', '25', '29', '30', '32', '34', '35', '37', '38', '39', '40', '41', '48', '49', '63', '68', '73', '74', '75', '76', '80', '82', '83', '84', '85', '87', '90', '94', '96', '25', '29', '30', '32', '34', '35', '37', '38', '39', '40', '48', '49', '63', '68', '73', '74', '75', '76', '80', '82', '83', '84', '85', '87', '90', '94', '96']"
"SPAN CORP, S.A.","['39', '40', '44', '48', '57', '59', '63', '69', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '87', '90', '94', '39', '40', '44', '48', '57', '59', '63', '69', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '87', '90', '94', '39', '40', '44', '48', '57', '59', '63', '69', '73', '74', '75', '76', '78', '79', '83', '82', '84', '85', '87', '90', '94', '39', '40', '44', '48', '57', '59', '63', '69', '73', '74', '75', '76', '78', '79', '82', '83', '84', '85', '87', '90', '94']"
"REPRESENTACIONES PLATINO, S.A. / VIRBAC MÉXICO, S.A. DE C.V.","['1', '23', '28', '29', '30', '32', '34', '35', '38', '42', '49', '70', '84', '85', '90', '94', '96', '1', '23', '28', '29', '30', '32', '34', '35', '38', '42', '49', '70', '84', '85', '90', '94', '96', '1', '23', '28', '29', '30', '32', '34', '35', '38', '42', '49', '70', '84', '85', '90', '94', '96']"
PENTOL GMBH,"['10', '19', '28', '38', '50', '80', '82', '84', '85', '90', '91', '10', '38', '19', '28', '50', '80', '82', '84', '85', '90', '91']"
"ECOGEO SERVIZI ALLE IMPRESE, S.R.L. ","['39', '59', '70', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '90', '91', '94']"
"MORIM NEGOCIOS INTERNACONAIS, S.A.","['1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '28', '32', '33', '34', '35', '36', '38', '39', '44', '48', '49', '50', '52', '56', '59', '61', '63', '66', '68', '69', '70', '72', '73', '74', '76', '82', '85', '87', '90', '94', '96', '97']"
CONICKEL INC.,"['75', '81', '75', '81', '75', '81', '75', '81']"
"COMPAÑÍA TREBOR, S.A.","['61', '62', '63', '64', '69', '94', '95', '96', '61', '62', '63', '64', '69', '94', '95', '96', '61', '62', '63', '64', '69', '94', '95', '96', '61', '62', '63', '64', '69', '94', '95', '96']"
"CARIBEMEX EXPORT-IMPORT, S.R.L.","['54', '55', '56', '59', '60', '63', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '87', '90', '94', '95', '54', '55', '56', '59', '60', '63', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '87', '90', '94', '95', '15', '16', '21', '25', '27', '28', '29', '30', '32', '33', '34', '35', '37', '38', '39', '40', '42', '44', '48', '49', '52', '54', '55', '56', '59', '60', '63', '68', '69', '70', '72', '73', '74', '76', '82', '83', '84', '85', '87', '90', '94', '95']"
"CHINA YANY INTERNATIONAL TRADE CORPORATION, LTD.","['7', '10', '11', '12', '13', '14', '15', '16', '19', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37', '38', '39', '40', '48', '51', '52', '53', '54', '55', '56', '58', '59', '60', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '90', '94', '96', '7', '10', '11', '12', '13', '14', '15', '16', '19', '23', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '37', '38', '39', '40', '48', '51', '52', '53', '54', '55', '56', '58', '59', '60', '61', '62', '63', '64', '65', '68', '69', '70', '72', '73', '74', '75', '76', '78', '79', '80', '82', '83', '84', '85', '86', '87', '90', '94', '96']"
"B.D.C. INTERNATIONAL, S.A.","['3', '5', '15', '22', '23', '25', '27', '28', '29', '30', '31', '32', '34', '35', '36', '38', '39', '40', '42', '44', '45', '47', '48', '49', '59', '60', '61', '63', '64', '65', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '94', '96', '15', '22', '25', '27', '28', '29', '30', '31', '32', '34', '35', '36', '38', '39', '40', '42', '44', '45', '47', '48', '49', '59', '60', '61', '63', '64', '65', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '94', '96', '15', '22', '25', '27', '28', '29', '30', '31', '32', '34', '35', '36', '38', '39', '40', '44', '45', '47', '48', '49', '59', '63', '64', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '87', '90', '91', '94', '96']"
"HANGZHOU DUOJIA TECHNOLOGY CO., LTD.","['39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '89', '90', '91', '92', '93', '94', '95', '96', '97', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97']"
"TEKENER, S.A.","['38', '39', '40', '59', '68', '69', '70', '72', '73', '76', '83', '84', '85', '90', '91', '38', '39', '40', '59', '68', '69', '70', '72', '73', '76', '79', '83', '84', '85', '90', '91', '38', '39', '40', '59', '68', '69', '70', '72', '73', '76', '79', '83', '84', '85', '90', '91']"
"IRRITEC IBERIA, S.A.","['25', '27', '28', '31', '35', '38', '53', '54', '56', '57', '59', '68', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94', '25', '27', '28', '31', '35', '38', '53', '54', '56', '57', '59', '68', '73', '74', '76', '82', '83', '84', '85', '87', '90', '91', '94']"
